file,agent,provider,session_id,bytes,lines,first,last,prompt_count,sha256
Architect-2026-09-10T03-30-39-476Z.jsonl,Architect,@agentclientprotocol/claude-agent-acp,0826fc6d-c1c2-4fdd-a4dc-38d6e2e52110,274212,411,2026-09-10T03:30:39.478000+00:00,2026-09-10T05:04:26.579000+00:00,3,58a55031366f2bb6ecfba61963ef95ae6a6b8641c5c2ab59294755bbbc10289a
Astra-Reviewer-2026-09-08T00-43-35-774Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a07e78-6bc4-74b2-95f3-155b9f6f7c79,3023128,3431,2026-09-08T00:43:35.777000+00:00,2026-09-08T18:04:45.067000+00:00,13,9123916136ba70a41aba9008d7d131f9fd46ee92583b0301e9350465ad7801e4
Astra-Reviewer-2026-09-08T18-07-19-514Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a08233-fd72-7a91-92fe-be08a80ca323,47654,11,2026-09-08T18:07:19.517000+00:00,2026-09-08T18:12:57.434000+00:00,0,d97df67456d94f484962b8a34db59476c14ba6d2998afa7d88e6b69c37316ecb
Astra-Reviewer-2026-09-08T18-20-34-491Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a08240-1de3-7360-a48b-0cd9c1ce3d4d,50742,13,2026-09-08T18:20:34.496000+00:00,2026-09-08T18:24:40.371000+00:00,0,264d30c69a04ebb9196f174fc0ce5741a4b51a1d0bd2c4da04f0eb78c29742ab
Astra-Reviewer-2026-09-08T18-34-03-771Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a0824c-76ca-79d3-9189-2cd5c6e2e0d1,1847870,2376,2026-09-08T18:34:03.778000+00:00,2026-09-08T21:50:33.048000+00:00,7,424f5d3ad2eda9696a20ca03468259442f8acc8ba9e8d5cf1d8104cc93a32692
Astra-Reviewer-2026-09-08T21-52-09-298Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a08301-d378-7502-9255-9fb60a5521e4,2580661,3160,2026-09-08T21:52:09.304000+00:00,2026-09-09T03:26:51.943000+00:00,9,c33a8853dce0d54e8f2c4239586f3bf76731b9761e085e147df82721902db108
Astra-Reviewer-2026-09-09T03-26-51-943Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a08434-43b2-7d91-8d38-893ec0b2a503,1553248,1588,2026-09-09T03:26:51.946000+00:00,2026-09-09T16:42:45.632000+00:00,6,e64bafd88bb90c760a2fea36094c4afd2ffef7223375a31acd33ea8e6bf061f1
Astra-Reviewer-2026-09-09T16-42-45-632Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a0870c-ebc0-7cc2-a9b6-2faeb4bcf8e8,78610,34,2026-09-09T16:42:45.635000+00:00,2026-09-09T18:52:55.344000+00:00,1,5cc7058950b2968dd8f47af5bc63bbe891185d658fabf29fb739b9544a7d90ba
Astra-Reviewer-2026-09-09T18-55-23-137Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a08786-57c9-73f3-bb01-109b4228a4ee,942066,1191,2026-09-09T18:55:23.140000+00:00,2026-09-09T22:33:39.007000+00:00,4,c59f898d6dcd3fe7d37584789b94acc738b6dc1f048efdafa73dc53451ba8286
Astra-Reviewer-2026-09-09T22-33-39-008Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a0884e-2bb1-7ae1-ae48-47b31e670541,1433603,1672,2026-09-09T22:33:39.011000+00:00,2026-09-10T01:21:31.385000+00:00,5,ae6e034615c029aa21b240af7e09a742cf9044df4786937c1252e12aa6d0e616
Astra-Reviewer-2026-09-10T01-21-31-386Z.jsonl,Astra-Reviewer,@agentclientprotocol/codex-acp,01a088e7-dd2d-70d1-8fbb-8b9066058d8e,884282,921,2026-09-10T01:21:31.389000+00:00,2026-09-10T02:37:12.219000+00:00,4,cc597851d8eb53cdfcb12018206ec5244218faad983d0038804b3c6b79cfe821
Builder-2026-09-07T20-36-55-650Z.jsonl,Builder,OpenCode,ses_f82696543ffeLPAkavjVcgCe1t,7154526,4988,2026-09-07T20:36:55.656000+00:00,2026-09-08T18:04:44.989000+00:00,44,301472829c641cebb6c6c00d4811a6c753bde6f050b2ad203d855ecb2a332938
Fable-2026-09-06T16-02-31-614Z.jsonl,Fable,@agentclientprotocol/claude-agent-acp,ce3bf06d-61f3-4ff0-a158-006acd8f95a4,512544,856,2026-09-06T16:02:31.627000+00:00,2026-09-06T17:17:47.570000+00:00,39,feb7b80ecf9cd3905cfc702747afed7b89326f1b7e6ca2cddc76778b6bac7d0c
Fitz-2026-09-06T15-54-50-406Z.jsonl,Fitz,@agentclientprotocol/claude-agent-acp,6725525a-3913-4bbc-bec5-5fcf0c84bcb6,5388507,3316,2026-09-06T15:54:50.409000+00:00,2026-09-06T18:56:00.617000+00:00,66,bbc50ee526bd2971a19d34598aae1b32ae1ab8b3555068b26104df36fd7717b1
Fitz-2026-09-06T18-58-16-265Z.jsonl,Fitz,@agentclientprotocol/claude-agent-acp,0f9f6706-23b2-49a3-af2d-657f11be122a,51449,9,2026-09-06T18:58:16.267000+00:00,2026-09-06T19:20:34.333000+00:00,0,8f9a78e92b2bfdd353b30b44bc5f4fb74d854f7e8bc8e3ef5fb34c00906b4c3c
Fitz-2026-09-07T06-07-15-360Z.jsonl,Fitz,@agentclientprotocol/claude-agent-acp,f87bdde3-be5b-4cf6-a28c-84b1238a3278,1626749,800,2026-09-07T06:07:15.365000+00:00,2026-09-08T06:06:03.389000+00:00,16,d2476d686b242d8a9f96a7cb0f567cb594322ccb0f23513f5898507362025142
Foble-2026-09-06T16-04-25-591Z.jsonl,Foble,@agentclientprotocol/claude-agent-acp,2659a4b0-c7cf-4119-865a-2f1dbc2609cf,980305,1705,2026-09-06T16:04:25.596000+00:00,2026-09-06T18:56:00.636000+00:00,73,cbb9889988ced756576dba773d9b667c63901106a43e3ff33b25ab70ed80d5d7
Foble-2026-09-06T18-58-20-112Z.jsonl,Foble,@agentclientprotocol/claude-agent-acp,f51e1e8e-7df5-4cff-bc1b-76b03987d56c,55406,11,2026-09-06T18:58:20.113000+00:00,2026-09-06T19:20:34.631000+00:00,0,7c9110af1b95734d2b8e9280058f1d2fee4c584ba7313dc49a7f846c148191ce
Foble-2026-09-07T06-07-18-694Z.jsonl,Foble,@agentclientprotocol/claude-agent-acp,4354ab04-a832-4f7b-8010-65fb216e4be6,55482,12,2026-09-07T06:07:18.695000+00:00,2026-09-07T20:06:36.954000+00:00,0,5a506da0ca4f8677f8f473f9cdc94fd49b801cc0b9e17d190f0446b7d9a933d1
Gemini-2026-09-06T17-09-29-414Z.jsonl,Gemini,unknown,,258,1,2026-09-06T17:09:29.416000+00:00,2026-09-06T17:09:29.416000+00:00,0,b29c6de49886a46449fa80392f63e692b71289ae0b5e7c18bef25a723f92deda
Gemini-Build-2026-09-08T17-39-33-860Z.jsonl,Gemini-Build,unknown,,258,1,2026-09-08T17:39:33.869000+00:00,2026-09-08T17:39:33.869000+00:00,0,4efabc1b66e533b59746a2ae41fd6001f799f17b201d98bfcf67e097b2b5a50b
Gemini-Builder-2026-09-08T18-08-36-139Z.jsonl,Gemini-Builder,antigravity-acp,,2061,4,2026-09-08T18:08:36.144000+00:00,2026-09-08T18:08:40.577000+00:00,0,ffdcd1b194222ce0340dc912c985aef18c3959883e7a01dc5489bb2b636e8642
Gemini-Builder-2026-09-08T18-22-52-028Z.jsonl,Gemini-Builder,antigravity-acp,,1605,3,2026-09-08T18:22:52.031000+00:00,2026-09-08T18:22:53.806000+00:00,0,6a580053f029e262cb6dfdbdcb16f171c945b93272c38eaa9cc600b093dcc432
Gemini-Builder-2026-09-08T18-34-05-009Z.jsonl,Gemini-Builder,antigravity-acp,99386afd-a2cf-4292-80bb-2d22bea07749,68086,16,2026-09-08T18:34:05.012000+00:00,2026-09-08T20:37:24.105000+00:00,2,3aca5eb4543fc3bfed334edd66255eef01273e379a6f1d5ebabd10c9432a5103
Gemini-Builder-2026-09-08T21-52-14-064Z.jsonl,Gemini-Builder,antigravity-acp,74ec7ced-64fc-4b8d-a3b9-a3d2f97aea40,9118,9,2026-09-08T21:52:14.067000+00:00,2026-09-08T21:52:19.485000+00:00,0,ed68b3c204053f7137fcbc10bf43cbcb47951f62cba9a5a697b49a993b791f91
Gemini-Builder-2026-09-09T18-56-23-275Z.jsonl,Gemini-Builder,antigravity-acp,0717446d-30ac-4fd0-8532-9f4aff6e66e7,48349,23,2026-09-09T18:56:23.279000+00:00,2026-09-09T23:55:01.981000+00:00,2,929fc05363b07b356683cc7cee7db3764a9d32cb7b3e396595b45a133a953de6
Gemini-Builder-2026-09-10T00-43-25-035Z.jsonl,Gemini-Builder,antigravity-acp,3c5b5eb9-1907-45fd-b0fd-d03e7688f27c,2561302,3113,2026-09-10T00:43:25.045000+00:00,2026-09-10T03:27:59.143000+00:00,10,6f2669d1590bc0e2ec7258ccfde6e0dfa56074fc7e07d0b1a6d720c9d0d17d2c
Luna-Builder-2026-09-08T05-03-34-019Z.jsonl,Luna-Builder,@agentclientprotocol/codex-acp,01a07f66-7274-7d20-8dfc-76a0860dc52d,9314913,5422,2026-09-08T05:03:34.021000+00:00,2026-09-08T18:04:45.070000+00:00,12,274de95b626e96e236c352c8af38484e2ceba44da9e084e0d50018a6d11d2341
Luna-Builder-2026-09-08T18-07-20-610Z.jsonl,Luna-Builder,@agentclientprotocol/codex-acp,01a08233-fff4-7de3-b962-1d54d359194c,50461,13,2026-09-08T18:07:20.614000+00:00,2026-09-08T18:12:57.445000+00:00,0,92af51aefd31c53401c92be233cf0a1a67285cbb99e9b98c83593a53c5fd29d5
Luna-Builder-2026-09-08T18-20-35-457Z.jsonl,Luna-Builder,@agentclientprotocol/codex-acp,01a08240-2231-7ee3-8768-165ad13f8c25,50452,13,2026-09-08T18:20:35.461000+00:00,2026-09-08T18:24:40.379000+00:00,0,247f809d7b7022bfeb1eb5bd9841a4ff50aded15c5ef1896ce6e9d95620a9aa8
Luna-Builder-2026-09-08T18-34-04-471Z.jsonl,Luna-Builder,@agentclientprotocol/codex-acp,01a0824c-78da-7692-88e3-e2010cc3ebf6,8771242,9250,2026-09-08T18:34:04.473000+00:00,2026-09-08T21:50:33.055000+00:00,9,dcc81a94877e756926004cf6214abea99fdc6e2311a8a3d48ba201f49fca34d3
Luna-Builder-2026-09-08T21-52-11-671Z.jsonl,Luna-Builder,@agentclientprotocol/codex-acp,01a08301-db36-7110-be75-2e73e6a2b6af,33332760,13916,2026-09-08T21:52:11.672000+00:00,2026-09-09T07:22:09.436000+00:00,15,74c56ff7e54efdc2b27f1bf41f4779226fbaceee2bb905dea9ccb1e8fac3f710
Luna-Builder-2026-09-09T07-22-09-436Z.jsonl,Luna-Builder,@agentclientprotocol/codex-acp,01a0850b-ac5d-7f31-9b41-bc2e903929c9,66962,28,2026-09-09T07:22:09.439000+00:00,2026-09-09T18:52:55.289000+00:00,1,68e88e85011947a8309a7316f5b376d59008f3e983d9764ed51444ae62e52ec2
Luna-Builder-2026-09-09T18-55-22-625Z.jsonl,Luna-Builder,@agentclientprotocol/codex-acp,01a08786-559b-7cb3-ab06-5963ba5c753e,2060608,1410,2026-09-09T18:55:22.626000+00:00,2026-09-09T23:08:29.973000+00:00,5,b878218ea18b17a4573db0d8aba02f593ead6a47b75c34bb3f65a89bf93f5062
Luna-Builder-2026-09-09T23-08-29-973Z.jsonl,Luna-Builder,@agentclientprotocol/codex-acp,01a0886e-131f-7531-9f97-83fdc28d98f7,1799482,1553,2026-09-09T23:08:29.976000+00:00,2026-09-09T23:19:30.745000+00:00,2,cbf454d02e76f474aa83fa8f71e81fda454e4696abef0bf3c4a54faa12f5e1ca
Luna-Builder-2026-09-09T23-19-30-745Z.jsonl,Luna-Builder,@agentclientprotocol/codex-acp,01a08878-2875-7a51-ad66-6f438748e2ed,3126873,2558,2026-09-09T23:19:30.748000+00:00,2026-09-10T00:14:19.977000+00:00,6,9e26c2bb5eb2286bf55d9303f30f73b8534d3529dc456e6106e5fa1bea7ea4ec
Luna-Builder-2026-09-10T00-14-19-977Z.jsonl,Luna-Builder,@agentclientprotocol/codex-acp,01a088aa-592e-7723-9ead-755fad837f10,898962,1203,2026-09-10T00:14:19.980000+00:00,2026-09-10T00:34:27.246000+00:00,4,3a3f0f04f6aa14321bc353982a1ba1efd300acc35019a8cc6290179c6c7ccada
Luna-Builder-2026-09-10T00-34-27-246Z.jsonl,Luna-Builder,@agentclientprotocol/codex-acp,01a088bc-c52f-7a50-b087-0eef5febb18e,9745037,6656,2026-09-10T00:34:27.249000+00:00,2026-09-10T05:05:12.253000+00:00,7,06edbc209531e2a2a10537d1890a96cfd4a4bd90dca732d7db78d99dd4ef739d
Muse-2026-09-06T15-56-58-356Z.jsonl,Muse,OpenCode,ses_f88900ba6ffearyzRG2wpz8pJN,1509821,1416,2026-09-06T15:56:58.359000+00:00,2026-09-06T18:56:00.631000+00:00,75,432b9d9e3965e45470c34a2f0b750b640d2eea880c83b7326bf58654091b905f
Muse-2026-09-06T18-58-17-904Z.jsonl,Muse,OpenCode,ses_f87ea0afeffeSTUs3gLG1893Db,34471,11,2026-09-06T18:58:17.906000+00:00,2026-09-06T19:20:34.630000+00:00,0,f779d92775b92ab68577b178dc8be2e197629a1737f91ac66e33cbbf1996b0ff
Muse-2026-09-07T06-07-16-600Z.jsonl,Muse,OpenCode,ses_f858593d3ffe0PqOcdFpGeqA20,34471,11,2026-09-07T06:07:16.601000+00:00,2026-09-07T20:06:40.737000+00:00,0,b7f32dababdf40d30f93c23d7b4def744907933a32b2a93488bf7a3c82733743
PM-2026-09-07T20-08-18-650Z.jsonl,PM,@agentclientprotocol/claude-agent-acp,fdbe68ec-7a70-4917-b02e-3b2340e4d50b,3302511,4603,2026-09-07T20:08:18.655000+00:00,2026-09-08T18:04:44.902000+00:00,180,693e456fe613b3e677a791bf453df625c8e548593455bececc8137033d8b2e8a
PM-2026-09-08T18-06-10-046Z.jsonl,PM,@agentclientprotocol/claude-agent-acp,3c151b44-25c9-4c70-868a-25b4a79f1aef,54314,10,2026-09-08T18:06:10.049000+00:00,2026-09-08T18:12:57.386000+00:00,0,5a256abc8b4da142a55355f26132691c223dd1bbb291af8a548a901c076822c9
PM-2026-09-08T18-19-34-025Z.jsonl,PM,@agentclientprotocol/claude-agent-acp,5d58418f-f97e-4f96-84cb-436adfceb9ef,54314,10,2026-09-08T18:19:34.030000+00:00,2026-09-08T18:24:40.326000+00:00,0,bba92a1890f7b3bc49d7fc5e17e2cb8ce253092c822e0c0907ebe7bcd40b6b0d
PM-2026-09-08T18-33-05-346Z.jsonl,PM,@agentclientprotocol/claude-agent-acp,316cf35a-870f-42ed-84da-b6f6201e39c1,582530,1138,2026-09-08T18:33:05.355000+00:00,2026-09-08T21:50:33.011000+00:00,33,5cae3892bed53d9737446e7616e946ad17a6c844f787a0d075eb6523a25e2632
PM-2026-09-08T21-51-05-823Z.jsonl,PM,@agentclientprotocol/claude-agent-acp,ffb90204-1490-4344-8cab-b9d32317c276,936404,1945,2026-09-08T21:51:05.829000+00:00,2026-09-09T07:22:29.895000+00:00,47,de6d970e1451097c944d9756bb6ab2be5363247ea7020f6d9b5050d8ff53ba05
PM-2026-09-09T07-22-29-895Z.jsonl,PM,@agentclientprotocol/claude-agent-acp,0ef31b90-16a0-42af-a5aa-75c94b38a079,393503,774,2026-09-09T07:22:29.898000+00:00,2026-09-09T18:52:55.330000+00:00,9,4db0b23f0caecd0664698182f0b2f8fa1d83e105967d17cbb2993e933e3df711
PM-2026-09-09T20-58-20-659Z.jsonl,PM,@agentclientprotocol/codex-acp,01a087f6-ea72-7fa0-9bb6-9d0d1c140929,2307764,5935,2026-09-09T20:58:20.660000+00:00,2026-09-10T05:04:47.082000+00:00,66,2f051dc1941336637a4098f18215e89e642643b5dde47494b320c1b322bf85f1
PM-Claude-2026-09-09T18-55-11-215Z.jsonl,PM-Claude,@agentclientprotocol/claude-agent-acp,f52d6969-8a55-4c33-b338-ffae4d611463,54087,8,2026-09-09T18:55:11.216000+00:00,2026-09-09T18:55:22.618000+00:00,0,2106918d7c595f40a1149633343446899615ac6a15097b45a2e938e1da5b618e
PM-Codex-2026-09-09T15-46-20-774Z.jsonl,PM-Codex,@agentclientprotocol/codex-acp,01a086d9-45d2-7dd2-b87e-71c5312acfaf,254690,474,2026-09-09T15:46:20.785000+00:00,2026-09-09T18:52:55.334000+00:00,10,65109b9f2a3b39147377654ec153224de8f1c301c3cb1804881333b1ce66a6df
PM-Codex-2026-09-09T18-56-22-728Z.jsonl,PM-Codex,@agentclientprotocol/codex-acp,01a08787-4076-79b0-98b6-70be0fbd5d80,399859,842,2026-09-09T18:56:22.730000+00:00,2026-09-09T20:58:20.659000+00:00,9,50d89a5c3147ae419ca1f88f04e060975732ad63b5c4335ea3552333727c69b0
Prover-2026-09-07T20-39-48-728Z.jsonl,Prover,@agentclientprotocol/claude-agent-acp,31336d03-a4bc-4929-90a8-097ced6691b2,1073003,1132,2026-09-07T20:39:48.733000+00:00,2026-09-08T18:04:45.041000+00:00,20,a0160b468bf7aca9901e12839f9bbaafadb04fdeddc98edcb076f467f03c0377
Prover-2026-09-08T18-06-53-721Z.jsonl,Prover,@agentclientprotocol/claude-agent-acp,cf93b22b-0514-41ba-8288-1b3248c5cc26,54353,10,2026-09-08T18:06:53.730000+00:00,2026-09-08T18:12:57.408000+00:00,0,f949c47e6471bcb804d5d2052765567deb2e57e39fcce9cb0b6d88470e8641b6
Prover-2026-09-08T18-20-10-026Z.jsonl,Prover,@agentclientprotocol/claude-agent-acp,5b151ef1-2f17-4b51-b3a6-b81c1fb9a6ad,54353,10,2026-09-08T18:20:10.031000+00:00,2026-09-08T18:24:40.350000+00:00,0,d2c5dea53a1519cb1f283857ce3d41c77a6ed08107751599319a1802191be443
Prover-2026-09-08T18-33-40-654Z.jsonl,Prover,@agentclientprotocol/claude-agent-acp,d4d6031f-61d4-4c0c-9df5-ec8c864dd335,342937,522,2026-09-08T18:33:40.657000+00:00,2026-09-08T21:50:33.031000+00:00,8,70b27a8a2ca17db340078d7e75fb83506a462819402742e74ac37c2f19a2b6e2
Prover-2026-09-08T21-51-44-548Z.jsonl,Prover,@agentclientprotocol/claude-agent-acp,505c8845-51ce-43f1-94c8-30e1f0c741c8,391044,179,2026-09-08T21:51:44.549000+00:00,2026-09-09T18:07:39.091000+00:00,6,a5db15ca5c7caabb2b0d58fe457d21f017ebfb0685a55052e1b37dece8b56359
Prover-2026-09-09T18-07-39-092Z.jsonl,Prover,@agentclientprotocol/claude-agent-acp,c23c2739-953b-42a2-b00d-702b03b8680c,146965,102,2026-09-09T18:07:39.095000+00:00,2026-09-09T18:52:55.352000+00:00,3,0c189d61f22b741ee5382167e9698c93fb1a7d1f278b7d2a5d73515feb521a6e
Prover-2026-09-09T18-55-23-701Z.jsonl,Prover,@agentclientprotocol/claude-agent-acp,e6c65725-5268-4466-9b32-bb56d6c6f817,2995691,1018,2026-09-09T18:55:23.703000+00:00,2026-09-09T22:47:25.810000+00:00,2,9310f98dad5210fccb41cde84b02845dfb8abb8ab7223ce280f0b59ef59e1dcd
Prover-2026-09-09T22-47-25-810Z.jsonl,Prover,@agentclientprotocol/claude-agent-acp,a3d25f41-5bff-4cf1-b257-4d612669fef8,12577840,622,2026-09-09T22:47:25.814000+00:00,2026-09-09T22:59:56.114000+00:00,3,aa8607810351f2a24ebb503a3613fef7067d80f91b8f771e1bfde620907a903e
Prover-2026-09-09T22-59-56-115Z.jsonl,Prover,@agentclientprotocol/claude-agent-acp,9146c68c-1bca-4e9f-8989-d2461295afd6,11658367,713,2026-09-09T22:59:56.118000+00:00,2026-09-10T00:45:09.165000+00:00,5,6a0adb323de3e34aefdcbf7be501eb42c2fa322a28b8f83d2e1722f895637097
Prover-2026-09-10T00-45-09-166Z.jsonl,Prover,@agentclientprotocol/claude-agent-acp,73a379fb-a951-4667-b8e7-741494275e20,124138,44,2026-09-10T00:45:09.169000+00:00,2026-09-10T00:45:36.622000+00:00,1,e2acaa8ed45eb1db1ca16c333dc83bb4c96cd23d9e206aeb51898b42dd53a9d0
Reviewer-2026-09-07T20-38-38-546Z.jsonl,Reviewer,@agentclientprotocol/claude-agent-acp,77a32c83-1be1-46a4-9a66-e9422021ad7e,2548700,1994,2026-09-07T20:38:38.551000+00:00,2026-09-08T18:04:44.999000+00:00,25,f8ae2696a76a8c33a728e1e2fba69a0f3151feb8cf1d73cd064a92e697135de1
Reviewer-2026-09-08T18-06-38-998Z.jsonl,Reviewer,@agentclientprotocol/claude-agent-acp,2dc055bf-3dc6-4d24-9453-d7537c432dc4,53840,10,2026-09-08T18:06:39.002000+00:00,2026-09-08T18:12:57.401000+00:00,0,1f09a401042804d546de7ae9a09629b491b04e3793aed503c2d8191be5135c0c
Reviewer-2026-09-08T18-19-57-984Z.jsonl,Reviewer,@agentclientprotocol/claude-agent-acp,c813ec4e-3238-48ed-b9f3-89e87abbdc80,53840,10,2026-09-08T18:19:57.988000+00:00,2026-09-08T18:24:40.341000+00:00,0,eb2efbed51ddd9fc80f75fd353287eeefcc6c066babd483d0eee2f9dbbcfebbc
Reviewer-2026-09-08T18-33-28-760Z.jsonl,Reviewer,@agentclientprotocol/claude-agent-acp,485fb26a-d6ef-4a37-8a7d-f32323895c2b,144035,20,2026-09-08T18:33:28.769000+00:00,2026-09-08T21:50:33.023000+00:00,1,7fade068a6070d0407c0a50bcf9397c65b793d61bf31cabf9332b671322d3044
Reviewer-2026-09-08T21-51-32-104Z.jsonl,Reviewer,@agentclientprotocol/claude-agent-acp,22938486-097d-4d9e-81b2-22bf8ece293c,53840,10,2026-09-08T21:51:32.109000+00:00,2026-09-09T18:52:55.271000+00:00,0,76d5f4a7bced7cc1c0e41db8fb98c3d6618381767275f152d22af848010b9d1b
Reviewer-2026-09-09T18-55-35-381Z.jsonl,Reviewer,@agentclientprotocol/claude-agent-acp,46c4a473-01f5-4940-b514-316ee97c3740,640181,430,2026-09-09T18:55:35.382000+00:00,2026-09-10T05:03:59.066000+00:00,2,b4aef0a066c68c00048333f79ea490c9fbd8d67d9246fc6b36a33778fdd0a6df
Reviewer-2026-09-10T05-03-59-067Z.jsonl,Reviewer,@agentclientprotocol/claude-agent-acp,6fbebcdf-842e-402b-b9d5-0b4dc311af48,124039,49,2026-09-10T05:03:59.069000+00:00,2026-09-10T05:04:29.252000+00:00,1,f1b5d81bfd7d355c6b13cb32ae445676f9b9441a43e6c3327e0bae19a125f682
Scout-2026-09-08T06-06-03-390Z.jsonl,Scout,@agentclientprotocol/claude-agent-acp,f653baaa-9ba4-4e5d-a5d7-4f4b38027f76,253033,106,2026-09-08T06:06:03.392000+00:00,2026-09-08T18:04:45.083000+00:00,2,f9e13358d5d9809a2d3ea559c24b28c4abca62714f454da8f7ad8bfc83b6e1ed
Scout-2026-09-08T18-05-57-374Z.jsonl,Scout,@agentclientprotocol/claude-agent-acp,4b03ad90-5859-4316-bdd5-be38ed88f0c8,53915,10,2026-09-08T18:05:57.393000+00:00,2026-09-08T18:12:57.380000+00:00,0,42128eceec34d9a79ad68494abecda7c12e9101bf19e8931ff9c17bca2c7062e
Scout-2026-09-08T18-19-21-526Z.jsonl,Scout,@agentclientprotocol/claude-agent-acp,087b1685-3441-4427-81d3-2203b2c5a3e4,53915,10,2026-09-08T18:19:21.532000+00:00,2026-09-08T18:24:40.321000+00:00,0,c2f810844100c2f19e324ecea46ba18c455daa145b55a2e2e8c2398656915acc
Scout-2026-09-08T18-32-53-467Z.jsonl,Scout,@agentclientprotocol/claude-agent-acp,42c7ce07-1e27-4aef-8fe9-8c067b37d664,144488,22,2026-09-08T18:32:53.473000+00:00,2026-09-08T21:50:33.006000+00:00,1,011a11185b82bae35fba21b556c1d9a75220c32d138cf6c2e5c0de59d6db7e18
Scout-2026-09-08T21-50-53-313Z.jsonl,Scout,@agentclientprotocol/claude-agent-acp,0ae210c8-62ba-4247-b8a6-6a454f000758,161190,20,2026-09-08T21:50:53.325000+00:00,2026-09-09T03:24:37.674000+00:00,1,f4e34701d0e57f3764fc84e7ead7b524e217be307819e98206c090aee2b80e85
Scout-2026-09-09T03-24-37-671Z.jsonl,Scout,@agentclientprotocol/claude-agent-acp,015008b0-a0df-4470-9db2-1525c4655a82,53915,10,2026-09-09T03:24:37.674000+00:00,2026-09-09T18:52:55.278000+00:00,0,3a3b1b49460905d41c896c7d41e2a1dde2af6ddf0dc3010de79051d83152de93
